variable activity subject average_value
fBodyAcc-mean()-X WALKING_UPSTAIRS 15 -0.583772317445122
fBodyAcc-mean()-X WALKING_UPSTAIRS 16 -0.700885147341803
fBodyAcc-mean()-X WALKING_UPSTAIRS 17 -0.994496322758621
fBodyAcc-mean()-Y LAYING 10 -0.384966594429798
fBodyAcc-mean()-Y LAYING 12 -0.523287078731563
fBodyAcc-mean()-Y LAYING 13 -0.493467193137125
fBodyAcc-mean()-Y LAYING 18 -0.663659666593407
fBodyAcc-mean()-Y LAYING 20 -0.426398722000395
fBodyAcc-mean()-Y LAYING 24 -0.611509042586877
fBodyAcc-mean()-Y SITTING 22 0.1231057773
fBodyAcc-mean()-Y SITTING 23 -0.548483208943548
fBodyAcc-mean()-Y SITTING 25 -0.600027697242054
fBodyAcc-mean()-Y SITTING 26 -0.610425833240306
fBodyAcc-mean()-Y SITTING 27 -0.641267840429521
fBodyAcc-mean()-Y SITTING 28 -0.622841114519417
fBodyAcc-mean()-Y STANDING 2 -0.432566581302351
fBodyAcc-mean()-Y STANDING 4 -0.52583456615142
fBodyAcc-mean()-Y STANDING 9 -0.610267804090278
fBodyAcc-mean()-Y STANDING 10 -0.720876538833333
fBodyAcc-mean()-Y STANDING 28 -0.540562190071023
fBodyAcc-mean()-Y STANDING 29 -0.587686308146221
fBodyAcc-mean()-Y STANDING 30 -0.55849001001906
fBodyAcc-mean()-Y WALKING 1 -0.406435448904438
fBodyAcc-mean()-Y WALKING 3 -0.501779938505279
fBodyAcc-mean()-Y WALKING 5 -0.440232431795033
fBodyAcc-mean()-Y WALKING 6 -0.392041410138769
fBodyAcc-mean()-Y WALKING 7 -0.563547785174026
fBodyAcc-mean()-Y WALKING 8 -0.581854533434343
fBodyAcc-mean()-Y WALKING_DOWNSTAIRS 17 -0.569180425379852
fBodyAcc-mean()-Y WALKING_DOWNSTAIRS 19 -0.521888076609778
fBodyAcc-mean()-Y WALKING_DOWNSTAIRS 21 -0.59377821414902
fBodyAcc-mean()-Y WALKING_DOWNSTAIRS 22 -0.554621367574582
fBodyAcc-mean()-Y WALKING_UPSTAIRS 8 -0.262394129472527
fBodyAcc-mean()-Y WALKING_UPSTAIRS 11 -0.531455265662532
fBodyAcc-mean()-Y WALKING_UPSTAIRS 14 -0.455237617000929
fBodyAcc-mean()-Y WALKING_UPSTAIRS 15 -0.507735205778384
fBodyAcc-mean()-Y WALKING_UPSTAIRS 16 -0.671572147098798
fBodyAcc-mean()-Y WALKING_UPSTAIRS 17 -0.982367664137931
fBodyAcc-mean()-Z LAYING 10 -0.554573027192929
fBodyAcc-mean()-Z LAYING 12 -0.7266403145
fBodyAcc-mean()-Z LAYING 13 -0.629736258731804
fBodyAcc-mean()-Z LAYING 18 -0.761229192087912
fBodyAcc-mean()-Z LAYING 20 -0.665006945724294
fBodyAcc-mean()-Z LAYING 24 -0.65585899482231
fBodyAcc-mean()-Z SITTING 22 -0.198565773954545
fBodyAcc-mean()-Z SITTING 23 -0.49021281618414
fBodyAcc-mean()-Z SITTING 25 -0.738509947579462
fBodyAcc-mean()-Z SITTING 26 -0.724046087155612
fBodyAcc-mean()-Z SITTING 27 -0.715482857547872
fBodyAcc-mean()-Z SITTING 28 -0.741462254985437
fBodyAcc-mean()-Z STANDING 2 -0.630081222124834
fBodyAcc-mean()-Z STANDING 4 -0.755235428895899
fBodyAcc-mean()-Z STANDING 9 -0.592119122804271
fBodyAcc-mean()-Z STANDING 10 -0.862321343125
fBodyAcc-mean()-Z STANDING 28 -0.684319004011364
fBodyAcc-mean()-Z STANDING 29 -0.680547675465116
fBodyAcc-mean()-Z STANDING 30 -0.634958546900783
fBodyAcc-mean()-Z WALKING 1 -0.596411165253602
fBodyAcc-mean()-Z WALKING 3 -0.699656828592375
fBodyAcc-mean()-Z WALKING 5 -0.696171811490066
fBodyAcc-mean()-Z WALKING 6 -0.683725945015385
fBodyAcc-mean()-Z WALKING 7 -0.531005941495552
fBodyAcc-mean()-Z WALKING 8 -0.779333525707071
fBodyAcc-mean()-Z WALKING_DOWNSTAIRS 17 -0.696059808678466
fBodyAcc-mean()-Z WALKING_DOWNSTAIRS 19 -0.647026298284028
fBodyAcc-mean()-Z WALKING_DOWNSTAIRS 21 -0.707713799021814
fBodyAcc-mean()-Z WALKING_DOWNSTAIRS 22 -0.723282881277592
fBodyAcc-mean()-Z WALKING_UPSTAIRS 8 -0.426764775743407
fBodyAcc-mean()-Z WALKING_UPSTAIRS 11 -0.750026145791139
fBodyAcc-mean()-Z WALKING_UPSTAIRS 14 -0.440650672343653
fBodyAcc-mean()-Z WALKING_UPSTAIRS 15 -0.741745724698171
fBodyAcc-mean()-Z WALKING_UPSTAIRS 16 -0.660989948160437
fBodyAcc-mean()-Z WALKING_UPSTAIRS 17 -0.986495766206897
fBodyAcc-std()-X LAYING 10 -0.393411346447475
fBodyAcc-std()-X LAYING 12 -0.586922577889687
fBodyAcc-std()-X LAYING 13 -0.620602036452599
fBodyAcc-std()-X LAYING 18 -0.687850549203297
fBodyAcc-std()-X LAYING 20 -0.60314894923565
fBodyAcc-std()-X LAYING 24 -0.664356691751496
fBodyAcc-std()-X SITTING 22 0.118339545340909
fBodyAcc-std()-X SITTING 23 -0.633839114436559
fBodyAcc-std()-X SITTING 25 -0.705223686579951
fBodyAcc-std()-X SITTING 26 -0.61349959767602
fBodyAcc-std()-X SITTING 27 -0.654659392263298
fBodyAcc-std()-X SITTING 28 -0.683199944917476
fBodyAcc-std()-X STANDING 2 -0.619788102803311
fBodyAcc-std()-X STANDING 4 -0.597551324155678
fBodyAcc-std()-X STANDING 9 -0.547995744907986
fBodyAcc-std()-X STANDING 10 -0.845922740729167
fBodyAcc-std()-X STANDING 28 -0.606381585607955
fBodyAcc-std()-X STANDING 29 -0.5727879490375
fBodyAcc-std()-X STANDING 30 -0.609238911508407
fBodyAcc-std()-X WALKING 1 -0.553060616663401
fBodyAcc-std()-X WALKING 3 -0.623805015199413
fBodyAcc-std()-X WALKING 5 -0.492829885748675
fBodyAcc-std()-X WALKING 6 -0.506680276530492
fBodyAcc-std()-X WALKING 7 -0.572347541484091
fBodyAcc-std()-X WALKING 8 -0.750599893474747
fBodyAcc-std()-X WALKING_DOWNSTAIRS 17 -0.559142964689676
fBodyAcc-std()-X WALKING_DOWNSTAIRS 19 -0.5708979748225
fBodyAcc-std()-X WALKING_DOWNSTAIRS 21 -0.665349663426471
fBodyAcc-std()-X WALKING_DOWNSTAIRS 22 -0.57658611649398
fBodyAcc-std()-X WALKING_UPSTAIRS 8 -0.495451225035714
fBodyAcc-std()-X WALKING_UPSTAIRS 11 -0.579491754749367
fBodyAcc-std()-X WALKING_UPSTAIRS 14 -0.609406374110062
fBodyAcc-std()-X WALKING_UPSTAIRS 15 -0.547150855443902
fBodyAcc-std()-X WALKING_UPSTAIRS 16 -0.656969045058415
fBodyAcc-std()-X WALKING_UPSTAIRS 17 -0.995250992758621
fBodyAcc-std()-Y LAYING 10 -0.42583273029202
fBodyAcc-std()-Y LAYING 12 -0.553076639139062
fBodyAcc-std()-Y LAYING 13 -0.462584458627829
fBodyAcc-std()-Y LAYING 18 -0.632838238002747
fBodyAcc-std()-Y LAYING 20 -0.381534028764124
fBodyAcc-std()-Y LAYING 24 -0.594676790059055
fBodyAcc-std()-Y SITTING 22 0.190673821868182
fBodyAcc-std()-Y SITTING 23 -0.554471679592177
fBodyAcc-std()-Y SITTING 25 -0.529064652290954
fBodyAcc-std()-Y SITTING 26 -0.600274809826275
fBodyAcc-std()-Y SITTING 27 -0.649506674776596
fBodyAcc-std()-Y SITTING 28 -0.623192236384369
fBodyAcc-std()-Y STANDING 2 -0.464723862913245
fBodyAcc-std()-Y STANDING 4 -0.534661524341987
fBodyAcc-std()-Y STANDING 9 -0.586766083232639
fBodyAcc-std()-Y STANDING 10 -0.751383960510417
fBodyAcc-std()-Y STANDING 28 -0.56224204456875
fBodyAcc-std()-Y STANDING 29 -0.630978844851831
fBodyAcc-std()-Y STANDING 30 -0.531321491840992
fBodyAcc-std()-Y WALKING 1 -0.390150939647061
fBodyAcc-std()-Y WALKING 3 -0.502753639795894
fBodyAcc-std()-Y WALKING 5 -0.422162171100331
fBodyAcc-std()-Y WALKING 6 -0.396677793847908
fBodyAcc-std()-Y WALKING 7 -0.567046977262987
fBodyAcc-std()-Y WALKING 8 -0.581953413010101
fBodyAcc-std()-Y WALKING_DOWNSTAIRS 17 -0.542590163514454
fBodyAcc-std()-Y WALKING_DOWNSTAIRS 19 -0.530901585022361
fBodyAcc-std()-Y WALKING_DOWNSTAIRS 21 -0.578748586831863
fBodyAcc-std()-Y WALKING_DOWNSTAIRS 22 -0.567546209132776
fBodyAcc-std()-Y WALKING_UPSTAIRS 8 -0.268071852098901
fBodyAcc-std()-Y WALKING_UPSTAIRS 11 -0.502570240243354
fBodyAcc-std()-Y WALKING_UPSTAIRS 14 -0.376829989404644
fBodyAcc-std()-Y WALKING_UPSTAIRS 15 -0.501568435233384
fBodyAcc-std()-Y WALKING_UPSTAIRS 16 -0.661844530506831
fBodyAcc-std()-Y WALKING_UPSTAIRS 17 -0.97835155862069
fBodyAcc-std()-Z LAYING 10 -0.511764535653535
fBodyAcc-std()-Z LAYING 12 -0.709983235125
fBodyAcc-std()-Z LAYING 13 -0.599036895271407
fBodyAcc-std()-Z LAYING 18 -0.694874090513736
fBodyAcc-std()-Z LAYING 20 -0.647515612457627
fBodyAcc-std()-Z LAYING 24 -0.655360521446194
fBodyAcc-std()-Z SITTING 22 -0.1092913705
fBodyAcc-std()-Z SITTING 23 -0.474767543716048
fBodyAcc-std()-Z SITTING 25 -0.630224637674572
fBodyAcc-std()-Z SITTING 26 -0.718490475765306
fBodyAcc-std()-Z SITTING 27 -0.692130765962766
fBodyAcc-std()-Z SITTING 28 -0.713211963058252
fBodyAcc-std()-Z STANDING 2 -0.600678614835099
fBodyAcc-std()-Z STANDING 4 -0.708764043722397
fBodyAcc-std()-Z STANDING 9 -0.501074006965903
fBodyAcc-std()-Z STANDING 10 -0.86121794721875
fBodyAcc-std()-Z STANDING 28 -0.675349070397727
fBodyAcc-std()-Z STANDING 29 -0.602550925183721
fBodyAcc-std()-Z STANDING 30 -0.506570361273995
fBodyAcc-std()-Z WALKING 1 -0.498583091676081
fBodyAcc-std()-Z WALKING 3 -0.657443765803519
fBodyAcc-std()-Z WALKING 5 -0.649351210748344
fBodyAcc-std()-Z WALKING 6 -0.694365207233846
fBodyAcc-std()-Z WALKING 7 -0.460792123277305
fBodyAcc-std()-Z WALKING 8 -0.775167074012121
fBodyAcc-std()-Z WALKING_DOWNSTAIRS 17 -0.629065517609145
fBodyAcc-std()-Z WALKING_DOWNSTAIRS 19 -0.680291382637222
fBodyAcc-std()-Z WALKING_DOWNSTAIRS 21 -0.675588192778676
fBodyAcc-std()-Z WALKING_DOWNSTAIRS 22 -0.706443300175585
fBodyAcc-std()-Z WALKING_UPSTAIRS 8 -0.370711173704945
fBodyAcc-std()-Z WALKING_UPSTAIRS 11 -0.652095671108544
fBodyAcc-std()-Z WALKING_UPSTAIRS 14 -0.275013722171486
fBodyAcc-std()-Z WALKING_UPSTAIRS 15 -0.711431340356707
fBodyAcc-std()-Z WALKING_UPSTAIRS 16 -0.605646725307104
fBodyAcc-std()-Z WALKING_UPSTAIRS 17 -0.978759603793103
fBodyAccJerk-mean()-X LAYING 10 -0.412057314516667
fBodyAccJerk-mean()-X LAYING 12 -0.599109317756219
fBodyAccJerk-mean()-X LAYING 13 -0.66008217407156
fBodyAccJerk-mean()-X LAYING 18 -0.750020077252747
fBodyAccJerk-mean()-X LAYING 20 -0.652264226931438
fBodyAccJerk-mean()-X LAYING 24 -0.752245372493438
fBodyAccJerk-mean()-X SITTING 22 0.00774466264545455
fBodyAccJerk-mean()-X SITTING 23 -0.617521836605645
fBodyAccJerk-mean()-X SITTING 25 -0.804144642836186
fBodyAccJerk-mean()-X SITTING 26 -0.699413168295663
fBodyAccJerk-mean()-X SITTING 27 -0.714554678365692
fBodyAccJerk-mean()-X SITTING 28 -0.718019745738835
fBodyAccJerk-mean()-X STANDING 2 -0.561682049622185
fBodyAccJerk-mean()-X STANDING 4 -0.652023078038801
fBodyAccJerk-mean()-X STANDING 9 -0.621377141312847
fBodyAccJerk-mean()-X STANDING 10 -0.826063598282292
fBodyAccJerk-mean()-X STANDING 28 -0.650093316014205
fBodyAccJerk-mean()-X STANDING 29 -0.629875853152035
fBodyAccJerk-mean()-X STANDING 30 -0.685307771157441
fBodyAccJerk-mean()-X WALKING 1 -0.547348892435764
fBodyAccJerk-mean()-X WALKING 3 -0.645893496630499
fBodyAccJerk-mean()-X WALKING 5 -0.604769869438742
fBodyAccJerk-mean()-X WALKING 6 -0.549394273848923
fBodyAccJerk-mean()-X WALKING 7 -0.637521940243831
fBodyAccJerk-mean()-X WALKING 8 -0.766583223
fBodyAccJerk-mean()-X WALKING_DOWNSTAIRS 17 -0.692948207482301
fBodyAccJerk-mean()-X WALKING_DOWNSTAIRS 19 -0.593157169174611
fBodyAccJerk-mean()-X WALKING_DOWNSTAIRS 21 -0.71641413145049
fBodyAccJerk-mean()-X WALKING_DOWNSTAIRS 22 -0.649283145619064
fBodyAccJerk-mean()-X WALKING_UPSTAIRS 8 -0.496470870779121
fBodyAccJerk-mean()-X WALKING_UPSTAIRS 11 -0.676672987166456
fBodyAccJerk-mean()-X WALKING_UPSTAIRS 14 -0.654385009392879
fBodyAccJerk-mean()-X WALKING_UPSTAIRS 15 -0.643469519361585
fBodyAccJerk-mean()-X WALKING_UPSTAIRS 16 -0.744662041612022
fBodyAccJerk-mean()-X WALKING_UPSTAIRS 17 -0.994117062068966
fBodyAccJerk-mean()-Y LAYING 10 -0.463058241109444
fBodyAccJerk-mean()-Y LAYING 12 -0.591296422972219
fBodyAccJerk-mean()-Y LAYING 13 -0.603340489937615
fBodyAccJerk-mean()-Y LAYING 18 -0.744113444532967
fBodyAccJerk-mean()-Y LAYING 20 -0.557791286001412
fBodyAccJerk-mean()-Y LAYING 24 -0.703641614506562
fBodyAccJerk-mean()-Y SITTING 22 -0.042898966
fBodyAccJerk-mean()-Y SITTING 23 -0.628231338392742
fBodyAccJerk-mean()-Y SITTING 25 -0.740570312249389
fBodyAccJerk-mean()-Y SITTING 26 -0.696726473912755
fBodyAccJerk-mean()-Y SITTING 27 -0.694509658473138
fBodyAccJerk-mean()-Y SITTING 28 -0.705976257345146
fBodyAccJerk-mean()-Y STANDING 2 -0.50890379901457
fBodyAccJerk-mean()-Y STANDING 4 -0.601696223759495
fBodyAccJerk-mean()-Y STANDING 9 -0.699766614569444
fBodyAccJerk-mean()-Y STANDING 10 -0.744950073
fBodyAccJerk-mean()-Y STANDING 28 -0.629450020630682
fBodyAccJerk-mean()-Y STANDING 29 -0.641289075786337
fBodyAccJerk-mean()-Y STANDING 30 -0.671673670524282
fBodyAccJerk-mean()-Y WALKING 1 -0.507343617969859
fBodyAccJerk-mean()-Y WALKING 3 -0.582949919157742
fBodyAccJerk-mean()-Y WALKING 5 -0.550991969857417
fBodyAccJerk-mean()-Y WALKING 6 -0.503558973703692
fBodyAccJerk-mean()-Y WALKING 7 -0.641687333850227
fBodyAccJerk-mean()-Y WALKING 8 -0.6623484276
fBodyAccJerk-mean()-Y WALKING_DOWNSTAIRS 17 -0.669598735445428
fBodyAccJerk-mean()-Y WALKING_DOWNSTAIRS 19 -0.596694943936944
fBodyAccJerk-mean()-Y WALKING_DOWNSTAIRS 21 -0.678615118728922
fBodyAccJerk-mean()-Y WALKING_DOWNSTAIRS 22 -0.613419188476589
fBodyAccJerk-mean()-Y WALKING_UPSTAIRS 8 -0.405368968365934
fBodyAccJerk-mean()-Y WALKING_UPSTAIRS 11 -0.632374688606013
fBodyAccJerk-mean()-Y WALKING_UPSTAIRS 14 -0.598699531399381
fBodyAccJerk-mean()-Y WALKING_UPSTAIRS 15 -0.609408057377744
fBodyAccJerk-mean()-Y WALKING_UPSTAIRS 16 -0.748627001551913
fBodyAccJerk-mean()-Y WALKING_UPSTAIRS 17 -0.988820999655172
fBodyAccJerk-mean()-Z LAYING 10 -0.645684616799495
fBodyAccJerk-mean()-Z LAYING 12 -0.7754265825625
fBodyAccJerk-mean()-Z LAYING 13 -0.710831730361468
fBodyAccJerk-mean()-Z LAYING 18 -0.833032083021978
fBodyAccJerk-mean()-Z LAYING 20 -0.732835648957627
fBodyAccJerk-mean()-Z LAYING 24 -0.719655747391076
fBodyAccJerk-mean()-Z SITTING 22 -0.38815349
fBodyAccJerk-mean()-Z SITTING 23 -0.578870810235484
fBodyAccJerk-mean()-Z SITTING 25 -0.849504849486553
fBodyAccJerk-mean()-Z SITTING 26 -0.76956529125
fBodyAccJerk-mean()-Z SITTING 27 -0.76857445225266
fBodyAccJerk-mean()-Z SITTING 28 -0.804585188883495
fBodyAccJerk-mean()-Z STANDING 2 -0.715745330403973
fBodyAccJerk-mean()-Z STANDING 4 -0.825154871135647
fBodyAccJerk-mean()-Z STANDING 9 -0.702931927996528
fBodyAccJerk-mean()-Z STANDING 10 -0.878450186458333
fBodyAccJerk-mean()-Z STANDING 28 -0.749187660607954
fBodyAccJerk-mean()-Z STANDING 29 -0.768433928313954
fBodyAccJerk-mean()-Z STANDING 30 -0.755432212793734
fBodyAccJerk-mean()-Z WALKING 1 -0.695305113832853
fBodyAccJerk-mean()-Z WALKING 3 -0.780101644193548
fBodyAccJerk-mean()-Z WALKING 5 -0.768762357980132
fBodyAccJerk-mean()-Z WALKING 6 -0.720867157741538
fBodyAccJerk-mean()-Z WALKING 7 -0.642515716574286
fBodyAccJerk-mean()-Z WALKING 8 -0.825870984707071
fBodyAccJerk-mean()-Z WALKING_DOWNSTAIRS 17 -0.786440272035398
fBodyAccJerk-mean()-Z WALKING_DOWNSTAIRS 19 -0.680924493180556
fBodyAccJerk-mean()-Z WALKING_DOWNSTAIRS 21 -0.767351986555392
fBodyAccJerk-mean()-Z WALKING_DOWNSTAIRS 22 -0.765568239732441
fBodyAccJerk-mean()-Z WALKING_UPSTAIRS 8 -0.545511445001648
fBodyAccJerk-mean()-Z WALKING_UPSTAIRS 11 -0.825559590221519
fBodyAccJerk-mean()-Z WALKING_UPSTAIRS 14 -0.618712162187307
fBodyAccJerk-mean()-Z WALKING_UPSTAIRS 15 -0.805543465588415
fBodyAccJerk-mean()-Z WALKING_UPSTAIRS 16 -0.752302172079235
fBodyAccJerk-mean()-Z WALKING_UPSTAIRS 17 -0.990597965172414
fBodyAccJerk-std()-X LAYING 10 -0.418627017293636
fBodyAccJerk-std()-X LAYING 12 -0.602960063359688
fBodyAccJerk-std()-X LAYING 13 -0.649606227431844
fBodyAccJerk-std()-X LAYING 18 -0.742517893708791
fBodyAccJerk-std()-X LAYING 20 -0.634710081102825
fBodyAccJerk-std()-X LAYING 24 -0.751378154304462
fBodyAccJerk-std()-X SITTING 22 -0.0416593402068182
fBodyAccJerk-std()-X SITTING 23 -0.635054351475538
fBodyAccJerk-std()-X SITTING 25 -0.807712525721271
fBodyAccJerk-std()-X SITTING 26 -0.694314518927551
fBodyAccJerk-std()-X SITTING 27 -0.712857956529255
fBodyAccJerk-std()-X SITTING 28 -0.734238501912621
fBodyAccJerk-std()-X STANDING 2 -0.595105612895033
fBodyAccJerk-std()-X STANDING 4 -0.644622004704416
fBodyAccJerk-std()-X STANDING 9 -0.572819893733993
fBodyAccJerk-std()-X STANDING 10 -0.831379930459062
fBodyAccJerk-std()-X STANDING 28 -0.668766481176136
fBodyAccJerk-std()-X STANDING 29 -0.651564188964826
fBodyAccJerk-std()-X STANDING 30 -0.701879208571802
fBodyAccJerk-std()-X WALKING 1 -0.543979776127867
fBodyAccJerk-std()-X WALKING 3 -0.657844055881525
fBodyAccJerk-std()-X WALKING 5 -0.584013626983444
fBodyAccJerk-std()-X WALKING 6 -0.555346159400332
fBodyAccJerk-std()-X WALKING 7 -0.626785744584416
fBodyAccJerk-std()-X WALKING 8 -0.772811330494949
fBodyAccJerk-std()-X WALKING_DOWNSTAIRS 17 -0.649348718874041
fBodyAccJerk-std()-X WALKING_DOWNSTAIRS 19 -0.586910128980833
fBodyAccJerk-std()-X WALKING_DOWNSTAIRS 21 -0.709800728388235
fBodyAccJerk-std()-X WALKING_DOWNSTAIRS 22 -0.643720768424415
fBodyAccJerk-std()-X WALKING_UPSTAIRS 8 -0.50375369885989
fBodyAccJerk-std()-X WALKING_UPSTAIRS 11 -0.672195644346519
fBodyAccJerk-std()-X WALKING_UPSTAIRS 14 -0.661460356953251
fBodyAccJerk-std()-X WALKING_UPSTAIRS 15 -0.637655155092835
fBodyAccJerk-std()-X WALKING_UPSTAIRS 16 -0.73477673661306
fBodyAccJerk-std()-X WALKING_UPSTAIRS 17 -0.994459398275862
fBodyAccJerk-std()-Y LAYING 10 -0.466687914596465
fBodyAccJerk-std()-Y LAYING 12 -0.579168053712969
fBodyAccJerk-std()-Y LAYING 13 -0.562129866937645
fBodyAccJerk-std()-Y LAYING 18 -0.739197834642857
fBodyAccJerk-std()-Y LAYING 20 -0.525907610282373
fBodyAccJerk-std()-Y LAYING 24 -0.688280461860892
fBodyAccJerk-std()-Y SITTING 22 -0.0801154312545455
fBodyAccJerk-std()-Y SITTING 23 -0.636977610060753
fBodyAccJerk-std()-Y SITTING 25 -0.721707668572127
fBodyAccJerk-std()-Y SITTING 26 -0.6803580612
fBodyAccJerk-std()-Y SITTING 27 -0.675744794384308
fBodyAccJerk-std()-Y SITTING 28 -0.688305009647573
fBodyAccJerk-std()-Y STANDING 2 -0.509147543673841
fBodyAccJerk-std()-Y STANDING 4 -0.593855151524606
fBodyAccJerk-std()-Y STANDING 9 -0.679065855003472
fBodyAccJerk-std()-Y STANDING 10 -0.7410383354375
fBodyAccJerk-std()-Y STANDING 28 -0.615705270717614
fBodyAccJerk-std()-Y STANDING 29 -0.655526116655523
fBodyAccJerk-std()-Y STANDING 30 -0.672622022924282
fBodyAccJerk-std()-Y WALKING 1 -0.466251676533372
fBodyAccJerk-std()-Y WALKING 3 -0.559851186088408
fBodyAccJerk-std()-Y WALKING 5 -0.491500434303907
fBodyAccJerk-std()-Y WALKING 6 -0.437837459287385
fBodyAccJerk-std()-Y WALKING 7 -0.62853163071948
fBodyAccJerk-std()-Y WALKING 8 -0.605587691511111
fBodyAccJerk-std()-Y WALKING_DOWNSTAIRS 17 -0.635163006465487
fBodyAccJerk-std()-Y WALKING_DOWNSTAIRS 19 -0.572596722878
fBodyAccJerk-std()-Y WALKING_DOWNSTAIRS 21 -0.674102360655147
fBodyAccJerk-std()-Y WALKING_DOWNSTAIRS 22 -0.612907133218033
fBodyAccJerk-std()-Y WALKING_UPSTAIRS 8 -0.375199658110989
fBodyAccJerk-std()-Y WALKING_UPSTAIRS 11 -0.609444998247785
fBodyAccJerk-std()-Y WALKING_UPSTAIRS 14 -0.60215894382322
fBodyAccJerk-std()-Y WALKING_UPSTAIRS 15 -0.605854882622652
fBodyAccJerk-std()-Y WALKING_UPSTAIRS 16 -0.738434398105465
fBodyAccJerk-std()-Y WALKING_UPSTAIRS 17 -0.990414811034483
fBodyAccJerk-std()-Z LAYING 10 -0.72073657040404
fBodyAccJerk-std()-Z LAYING 12 -0.80858300040625
fBodyAccJerk-std()-Z LAYING 13 -0.744823539571865
fBodyAccJerk-std()-Z LAYING 18 -0.860168954615385
fBodyAccJerk-std()-Z LAYING 20 -0.760509114748588
fBodyAccJerk-std()-Z LAYING 24 -0.751628687821522
fBodyAccJerk-std()-Z SITTING 22 -0.500476129545455
fBodyAccJerk-std()-Z SITTING 23 -0.627540367652688
fBodyAccJerk-std()-Z SITTING 25 -0.870541516210269
fBodyAccJerk-std()-Z SITTING 26 -0.78604912494898
fBodyAccJerk-std()-Z SITTING 27 -0.797303408218085
fBodyAccJerk-std()-Z SITTING 28 -0.842972637427184
fBodyAccJerk-std()-Z STANDING 2 -0.767087015496689
fBodyAccJerk-std()-Z STANDING 4 -0.860544668359621
fBodyAccJerk-std()-Z STANDING 9 -0.739139922708333
fBodyAccJerk-std()-Z STANDING 10 -0.899683347916667
fBodyAccJerk-std()-Z STANDING 28 -0.796834974772727
fBodyAccJerk-std()-Z STANDING 29 -0.818292780813954
fBodyAccJerk-std()-Z STANDING 30 -0.807184940939948
fBodyAccJerk-std()-Z WALKING 1 -0.737861932680115
fBodyAccJerk-std()-Z WALKING 3 -0.81080601659824
fBodyAccJerk-std()-Z WALKING 5 -0.798835563807947
fBodyAccJerk-std()-Z WALKING 6 -0.755751144098462
fBodyAccJerk-std()-Z WALKING 7 -0.684856438953896
fBodyAccJerk-std()-Z WALKING 8 -0.850822301313131
fBodyAccJerk-std()-Z WALKING_DOWNSTAIRS 17 -0.808333054336283
fBodyAccJerk-std()-Z WALKING_DOWNSTAIRS 19 -0.728521901498861
fBodyAccJerk-std()-Z WALKING_DOWNSTAIRS 21 -0.794922813673627
fBodyAccJerk-std()-Z WALKING_DOWNSTAIRS 22 -0.800838269899666
fBodyAccJerk-std()-Z WALKING_UPSTAIRS 8 -0.604806207873626
fBodyAccJerk-std()-Z WALKING_UPSTAIRS 11 -0.858259630601266
fBodyAccJerk-std()-Z WALKING_UPSTAIRS 14 -0.694424996467802
fBodyAccJerk-std()-Z WALKING_UPSTAIRS 15 -0.845111060762195
fBodyAccJerk-std()-Z WALKING_UPSTAIRS 16 -0.782089515344262
fBodyAccJerk-std()-Z WALKING_UPSTAIRS 17 -0.991935782413793
fBodyAccMag-mean() LAYING 10 -0.388684286908081
fBodyAccMag-mean() LAYING 12 -0.55928367746625
fBodyAccMag-mean() LAYING 13 -0.589928108599083
fBodyAccMag-mean() LAYING 18 -0.697732862178571
fBodyAccMag-mean() LAYING 20 -0.560278889421186
